model,case,scenario,parameter,NRMSE,Calibration Error,Posterior Contraction
DDM,interaction,BayesGPT_Family,$a$ -- $u_1:u_2$ | $c_{1}$,24.087341874219696,12.371134020618193,-6.370756874519024
DDM,interaction,BayesGPT_Family,$z$ -- $u_1:u_2$ | $c_{1}$,24.28238870886596,-70.67669172932344,-7.368074136287281
DDM,interaction,BayesGPT_ModelClass,$v$,2.754209525782514,-63.354037267080955,-4.453716467340664
DDM,interaction,BayesGPT_ModelClass,$a$,0.8412514438123967,-76.30331753554516,-1.461788050813577
DDM,interaction,BayesGPT_ModelClass,$z$,5.856989234755828,-57.61589403973539,-1.1373580728003418
DDM,interaction,BayesGPT_ModelClass,$\tau$,2.32315809373376,-52.17391304347847,-0.8583800481716217
DDM,interaction,BayesGPT_ModelClass,$s_v$,1.706684122271022,-6.299212598425369,-6.277661560917512
DDM,interaction,BayesGPT_ModelClass,$s_\tau$,3.642573476015475,96.77419354838759,-0.8134676008227192
DDM,interaction,BayesGPT_ModelClass,$v$ -- $u_1$ | $c_{1}$,0.8862781393682255,319.58762886598106,-7.184067099900206
DDM,interaction,BayesGPT_ModelClass,$a$ -- $u_1$ | $c_{1}$,7.086338524466043,150.57471264367805,-0.7935477432046881
DDM,interaction,BayesGPT_ModelClass,$z$ -- $u_1$ | $c_{1}$,5.597556314770283,72.34042553191492,-1.1251039119447028
DDM,interaction,BayesGPT_ModelClass,$\tau$ -- $u_1$ | $c_{1}$,4.252749120907563,72.28915662650573,-0.17786810974469502
DDM,interaction,BayesGPT_ModelClass,$s_v$ -- $u_1$ | $c_{1}$,-0.7556465627231399,48.82352941176466,-1.3920943339399454
DDM,interaction,BayesGPT_ModelClass,$v$ -- $u_2$ | $c_{1}$,1.4536800315680165,-18.7845303867407,-1.9343714824008578
DDM,interaction,BayesGPT_ModelClass,$a$ -- $u_2$ | $c_{1}$,7.91124959265249,80.82191780821903,-0.7471673538142151
DDM,interaction,BayesGPT_ModelClass,$z$ -- $u_2$ | $c_{1}$,-0.5590962184489474,-28.05755395683473,-1.7660450677402093
DDM,interaction,BayesGPT_ModelClass,$\tau$ -- $u_2$ | $c_{1}$,12.232212383836869,89.76377952755942,-0.17397683417220436
DDM,interaction,BayesGPT_ModelClass,$v$ -- $u_1:u_2$ | $c_{1}$,2.8941580955976285,-8.139534883720597,-7.547767639533011
DDM,interaction,BayesGPT_ModelClass,$a$ -- $u_1:u_2$ | $c_{1}$,1.4609221483642483,54.128440366973244,-1.9732523609810795
DDM,interaction,BayesGPT_ModelClass,$z$ -- $u_1:u_2$ | $c_{1}$,1.0517362594770685,271.79487179487234,-2.7604094764273275
RDM,intercept_only,BayesGPT_Family,$v$,0.3869000796325453,-51.694915254237344,-1.9978347522188604
RDM,intercept_only,BayesGPT_Family,$v_{\mathrm{diff}}$,0.9121740994661864,-22.881355932203324,0.05490791877900131
RDM,intercept_only,BayesGPT_Family,$a$,2.325064630652323,45.53571428571464,0.799225588215197
