model,case,scenario,parameter,NRMSE,Calibration Error,Posterior Contraction
DDM,regressed,BayesGPT_Family,$v$ -- $u_2$ | $c_{1}$,14.315731342452057,86.89320388349569,-3.8751403201946455
DDM,regressed,BayesGPT_Family,$a$ -- $u_2$ | $c_{1}$,23.939953993818953,28.260869565217078,-0.606063284644941
DDM,regressed,BayesGPT_Family,$z$ -- $u_2$ | $c_{1}$,17.827765328237902,196.25000000000244,-1.8285445327453078
DDM,regressed,BayesGPT_ModelClass,$v$,5.879416187708434,-56.66666666666665,-4.273724240000958
DDM,regressed,BayesGPT_ModelClass,$a$,7.742858905457092,366.0377358490577,-1.19956450381058
DDM,regressed,BayesGPT_ModelClass,$z$,10.854729240605241,104.3956043956037,-1.361314881754706
DDM,regressed,BayesGPT_ModelClass,$\tau$,10.82097291089783,-37.31343283582121,-0.30282515850642366
DDM,regressed,BayesGPT_ModelClass,$s_v$,1.1572801108386648,-13.793103448275662,-8.318265496674305
DDM,regressed,BayesGPT_ModelClass,$s_\tau$,7.769691139913471,229.824561403508,-1.7347624084372977
DDM,regressed,BayesGPT_ModelClass,$v$ -- $u_1$ | $c_{1}$,8.243179128288585,50.399999999999935,-4.0898851263145035
DDM,regressed,BayesGPT_ModelClass,$a$ -- $u_1$ | $c_{1}$,14.760191533017972,159.49367088607642,-0.6573654828170598
DDM,regressed,BayesGPT_ModelClass,$z$ -- $u_1$ | $c_{1}$,11.500235228617255,387.69230769231075,-1.6197303611043126
DDM,regressed,BayesGPT_ModelClass,$v$ -- $u_2$ | $c_{1}$,9.785059765186665,71.42857142857162,-3.699924851570866
DDM,regressed,BayesGPT_ModelClass,$a$ -- $u_2$ | $c_{1}$,7.482466364045138,-5.9322033898302395,-0.6388978852245242
DDM,regressed,BayesGPT_ModelClass,$z$ -- $u_2$ | $c_{1}$,15.98931927653498,-35.86497890295393,-1.5868819795579128
DDM,fixed_regressed,BayesGPT_Family,$v$,8.056586486871646,255.0458715596326,-0.747370918749037
DDM,fixed_regressed,BayesGPT_Family,$a$,20.33187096691685,-18.803418803419053,-0.8849783331049893
DDM,fixed_regressed,BayesGPT_Family,$z$,10.836205220213294,-28.455284552845463,-0.8500760521817389
DDM,fixed_regressed,BayesGPT_Family,$\tau$,13.249703544465282,-41.22807017543866,-0.9718881818153209
DDM,fixed_regressed,BayesGPT_Family,$v$ -- $u_1$ | $c_{1}$,10.113088825818595,107.84313725490223,-3.3917814752528295
DDM,fixed_regressed,BayesGPT_Family,$a$ -- $u_1$ | $c_{1}$,24.879150811251442,36.19631901840476,-0.4034890892186816
DDM,fixed_regressed,BayesGPT_Family,$z$ -- $u_1$ | $c_{1}$,16.760717066293687,27.354260089686246,-1.4596626690812151
DDM,fixed_regressed,BayesGPT_Family,$v$ -- $u_2$ | $c_{1}$,10.209632441008612,0.36363636363657276,-2.9244995962050435
DDM,fixed_regressed,BayesGPT_Family,$a$ -- $u_2$ | $c_{1}$,24.725598110284682,174.15730337078793,-0.5802026521344174
DDM,fixed_regressed,BayesGPT_Family,$z$ -- $u_2$ | $c_{1}$,16.914250636162233,14.97326203208522,-1.74010020367415
DDM,fixed_regressed,BayesGPT_ModelClass,$v$,7.533474684953133,-71.0594315245479,-4.558748303420905
DDM,fixed_regressed,BayesGPT_ModelClass,$a$,5.050026724532497,201.578947368422,-1.4167481519048986
DDM,fixed_regressed,BayesGPT_ModelClass,$z$,11.243547878756944,107.95454545454595,-2.3255878698697114
DDM,fixed_regressed,BayesGPT_ModelClass,$\tau$,8.477288187433553,97.01492537313422,-1.0517557421827446
DDM,fixed_regressed,BayesGPT_ModelClass,$v$ -- $u_1$ | $c_{1}$,4.613090155792535,148.58490566037793,-5.664033961752318
DDM,fixed_regressed,BayesGPT_ModelClass,$a$ -- $u_1$ | $c_{1}$,6.851644180057196,-34.23423423423432,-0.5768254652270927
