id,speed_condition,difficulty,resp_deviation,rt
1,1,3,-1.078,0.57403
1,1,1,0.23989,0.47462
1,0,1,-0.041933,0.8322
1,0,3,-1.1022,0.98241
1,0,1,-0.07004,0.69957
1,0,3,0.13088,0.92901
1,0,3,-1.5521,0.8178
1,0,1,-0.13422,0.87869
1,0,3,0.06073,1.5244
1,0,2,0.46882,0.97981
1,0,2,-0.12186,0.83005
1,0,1,-0.1251,0.76489
1,0,2,0.25062,1.1796
1,0,3,0.2126,0.8581
1,0,2,-0.24373,0.87665
1,0,3,-0.26148,1.067
1,0,2,0.19142,0.93439
1,0,1,-0.14055,1.0322
1,0,3,-0.049223,0.92771
1,0,3,-0.43513,0.99831
1,0,1,-0.26978,0.84183
1,0,3,-0.10081,1.5617
1,0,2,-0.13938999999999999,0.93976
1,0,2,0.11496,0.95155
1,0,1,0.16139,0.81299
1,0,1,0.13121,0.72273
1,0,2,-0.2188,1.0543
1,0,2,0.010638,1.0675
1,0,2,-0.33571,0.89567
1,0,1,0.1112,0.87799
1,0,1,-0.0027156,0.81452
1,0,3,-0.52888,1.0966
1,1,3,0.83796,1.0105
1,1,1,0.14898,0.65084
1,1,2,-0.0024344,0.55813
1,1,1,-0.2314,0.59568
1,1,1,0.2546,0.56688
1,1,1,0.077997,0.71327
1,1,2,-0.026727,0.75105
1,1,2,0.17466,0.67373
1,1,1,0.11013,0.65633
1,1,2,-0.45074,0.62099
1,1,2,-0.20624,0.62497
1,1,3,-0.2483,0.5986
1,1,1,0.25949,0.62979
1,1,3,-0.28418,0.67974
1,1,3,0.071672,0.54232
1,1,3,-0.13663,0.54779
1,1,3,-0.056297,0.71057
1,1,2,-0.17138,0.58968
1,1,1,-0.14562,0.5667
1,1,2,-0.14227,0.68644
1,1,2,-0.0056246000000000004,0.51271
1,1,3,-0.38497,0.55488
1,1,1,0.054568,0.62685
1,1,3,-0.17625,0.58247
1,1,2,0.25612,0.65183
1,1,3,-0.49502,0.68034
1,1,2,-0.11427,0.66993
1,1,3,0.19493,0.53626
1,1,1,-0.13941,0.56344
1,1,1,-0.27664,0.63451
1,1,1,-0.01486,0.68177
1,1,2,0.23566,0.77756
1,1,1,-0.047107,0.55646
1,1,2,0.11264,0.54216
1,1,1,0.071422,0.54733
1,1,3,0.26073,0.57101
1,1,1,0.0084521,0.53473
1,1,2,0.020263,0.57589
1,1,3,1.4207,0.61373
1,1,1,-0.043602,0.58475
1,1,3,-0.5411,0.67957
1,1,2,-0.13277,0.54212
1,1,1,0.03753,0.55076
1,1,2,-0.014049,0.60302
1,1,2,-0.58713,0.57697
1,1,2,0.10836,0.65779
1,1,3,-0.18054,0.60115
1,1,1,0.1176,0.56436
